m2,ambientes,barrio,usd_m2,precio_usd
56.0,2,VILLA CRESPO,4082,199997
34.0,1,PALERMO,3684,99481
70.0,3,BELGRANO,2500,175000
74.0,2,VILLA URQUIZA,2027,150000
137.0,4,BELGRANO,3212,440000
51.0,2,VILLA CRESPO,2574,115854
114.0,2,BALVANERA,1228,140000
58.0,3,FLORES NORTE,2069,120000
122.0,4,PALERMO,3074,375000
73.0,3,FLORES NORTE,1849,135000
93.0,4,VILLA URQUIZA,3097,288000
36.0,2,ALMAGRO,2611,94000
105.0,4,COLEGIALES,2429,255000
38.0,1,FLORES NORTE,3824,145308
185.0,4,RECOLETA,2432,450000
35.0,1,VILLA URQUIZA,3216,112564
38.0,2,VILLA CRESPO,3382,115000
50.0,1,BALVANERA,1790,89500
121.0,5,VILLA CRESPO,2244,271501
65.0,2,PALERMO,5254,310000
250.0,5,FLORES NORTE,1800,450000
23.0,1,VILLA CRESPO,3391,78000
108.0,4,PALERMO,2482,268000
165.0,4,VILLA CRESPO,1394,230001
65.0,3,VILLA URQUIZA,2738,178000
60.0,2,RECOLETA,2500,150000
81.0,3,CABALLITO,3220,260800
49.0,2,VILLA URQUIZA,3041,149000
83.0,3,VILLA URQUIZA,2771,230000
70.0,3,BALVANERA,1714,120000
54.0,2,VILLA CRESPO,2222,120000
46.0,2,COLEGIALES,3816,175525
70.0,4,CABALLITO,2029,142000
100.0,3,RECOLETA,3700,370000
61.0,3,BELGRANO,2918,178000
222.0,4,VILLA CRESPO,4504,1000000
102.0,3,RECOLETA,2500,180000
161.0,4,BELGRANO,2482,350000
73.0,4,BELGRANO,3538,230000
87.0,4,CABALLITO,3049,250000
38.0,2,BALVANERA,2105,80000
80.0,4,BALVANERA,1125,90000
90.0,4,ALMAGRO,1499,134900
52.0,2,ALMAGRO,3423,178000
79.0,4,ALMAGRO,1962,155000
88.0,3,CABALLITO,2784,245000
83.0,4,VILLA URQUIZA,2590,215000
144.0,3,ALMAGRO,1910,275000
53.0,2,ALMAGRO,3456,159000
76.0,4,FLORES NORTE,2434,185000
35.0,1,FLORES NORTE,2949,103200
70.0,3,ALMAGRO,1857,130000
65.0,3,ALMAGRO,5977,388489
35.0,1,ALMAGRO,2086,73000
38.0,1,VILLA URQUIZA,2895,110000
35.0,2,FLORES NORTE,2171,76000
100.0,3,BELGRANO,4500,450000
144.0,3,VILLA URQUIZA,1667,240000
25.0,1,COLEGIALES,2506,62657
